type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2013-08-20 02:55:32,45.522531000,-73.593290000,75.7,,,0.000,,Night Ride,
T,2013-08-20 03:00:03,45.522553000,-73.593314000,75.7,0.0,0.0,0.003,3.08,,
T,2013-08-20 03:00:05,45.522614000,-73.593325000,75.7,12.3,0.0,0.010,6.83,,
T,2013-08-20 03:00:06,45.522608000,-73.593287000,75.6,11.0,-3.3,0.013,3.04,,
T,2013-08-20 03:00:08,45.522639000,-73.593268000,75.5,6.8,-2.7,0.017,3.75,,
T,2013-08-20 03:00:12,45.522665000,-73.593231000,75.4,3.7,-2.4,0.021,4.09,,
T,2013-08-20 03:00:15,45.522690000,-73.593197000,75.3,4.6,-2.6,0.025,3.84,,
T,2013-08-20 03:00:23,45.522720000,-73.593225000,75.3,1.8,0.0,0.029,3.99,,
T,2013-08-20 03:00:30,45.522723000,-73.593172000,75.2,2.1,-2.4,0.033,4.15,,
T,2013-08-20 03:00:32,45.522714000,-73.593129000,75.1,6.3,-2.9,0.036,3.51,,
T,2013-08-20 03:00:36,45.522699000,-73.593096000,75.1,2.8,0.0,0.039,3.07,,
T,2013-08-20 03:01:55,45.522700000,-73.593055000,75.0,0.1,-3.1,0.043,3.21,,
T,2013-08-20 03:01:57,45.522689000,-73.593003000,74.9,7.6,-2.4,0.047,4.24,,
T,2013-08-20 03:01:59,45.522695000,-73.592960000,74.7,6.2,-5.8,0.050,3.42,,
T,2013-08-20 03:02:01,45.522722000,-73.592930000,74.6,6.9,-2.6,0.054,3.81,,
T,2013-08-20 03:02:03,45.522758000,-73.592910000,74.5,7.7,-2.3,0.058,4.30,,
T,2013-08-20 03:02:05,45.522789000,-73.592900000,74.5,6.4,0.0,0.062,3.53,,
T,2013-08-20 03:02:07,45.522822000,-73.592884000,74.4,7.0,-2.6,0.066,3.87,,
T,2013-08-20 03:02:09,45.522852000,-73.592865000,74.3,6.6,-2.7,0.069,3.65,,
T,2013-08-20 03:02:11,45.522882000,-73.592849000,74.2,6.4,-2.8,0.073,3.56,,
T,2013-08-20 03:02:13,45.522942000,-73.592807000,74.0,13.4,-2.7,0.080,7.43,,
T,2013-08-20 03:02:14,45.522978000,-73.592779000,73.9,16.4,-2.2,0.085,4.56,,
T,2013-08-20 03:02:15,45.523013000,-73.592750000,73.8,16.2,-2.2,0.089,4.50,,
T,2013-08-20 03:02:16,45.523046000,-73.592723000,73.7,15.2,-2.4,0.094,4.23,,
T,2013-08-20 03:02:17,45.523080000,-73.592696000,73.6,15.6,-2.3,0.098,4.33,,
T,2013-08-20 03:02:18,45.523117000,-73.592670000,73.5,16.5,-2.2,0.103,4.59,,
T,2013-08-20 03:02:19,45.523154000,-73.592642000,73.4,16.8,-2.1,0.107,4.66,,
T,2013-08-20 03:02:20,45.523212000,-73.592609000,73.3,25.0,-1.4,0.114,6.94,,
T,2013-08-20 03:02:21,45.523255000,-73.592572000,73.2,20.1,-1.8,0.120,5.59,,
T,2013-08-20 03:02:22,45.523296000,-73.592530000,73.1,20.2,-1.8,0.125,5.62,,
T,2013-08-20 03:02:23,45.523347000,-73.592483000,73.0,24.3,-1.5,0.132,6.75,,
T,2013-08-20 03:02:24,45.523399000,-73.592432000,72.9,25.3,-1.4,0.139,7.02,,
T,2013-08-20 03:02:25,45.523450000,-73.592377000,72.8,25.6,-1.4,0.146,7.11,,
T,2013-08-20 03:02:26,45.523526000,-73.592321000,72.6,34.2,-2.1,0.156,9.51,,
T,2013-08-20 03:02:27,45.523585000,-73.592261000,72.5,29.0,-1.2,0.164,8.06,,
T,2013-08-20 03:02:28,45.523642000,-73.592206000,72.4,27.6,-1.3,0.172,7.65,,
T,2013-08-20 03:02:29,45.523705000,-73.592153000,72.2,29.3,-2.5,0.180,8.13,,
T,2013-08-20 03:02:30,45.523769000,-73.592103000,72.0,29.2,-2.5,0.188,8.12,,
T,2013-08-20 03:02:31,45.523824000,-73.592048000,71.8,26.9,-2.7,0.195,7.47,,
T,2013-08-20 03:02:32,45.523883000,-73.591995000,71.6,27.9,-2.6,0.203,7.76,,
T,2013-08-20 03:02:33,45.523946000,-73.591940000,71.4,29.6,-2.4,0.211,8.22,,
T,2013-08-20 03:02:34,45.524008000,-73.591882000,71.1,29.7,-3.6,0.219,8.25,,
T,2013-08-20 03:02:35,45.524068000,-73.591830000,70.8,28.1,-3.8,0.227,7.81,,
T,2013-08-20 03:02:36,45.524133000,-73.591771000,70.4,30.9,-4.7,0.236,8.57,,
T,2013-08-20 03:02:37,45.524198000,-73.591719000,70.1,29.8,-3.6,0.244,8.29,,
T,2013-08-20 03:02:38,45.524261000,-73.591662000,69.8,29.9,-3.6,0.252,8.30,,
T,2013-08-20 03:02:39,45.524328000,-73.591603000,69.5,31.5,-3.4,0.261,8.76,,
T,2013-08-20 03:02:40,45.524393000,-73.591543000,69.1,31.0,-4.6,0.270,8.61,,
T,2013-08-20 03:02:41,45.524455000,-73.591487000,68.8,29.4,-3.7,0.278,8.16,,
T,2013-08-20 03:02:42,45.524521000,-73.591427000,68.6,31.3,-2.3,0.287,8.71,,
T,2013-08-20 03:02:43,45.524590000,-73.591387000,68.4,29.8,-2.4,0.295,8.28,,
T,2013-08-20 03:02:44,45.524654000,-73.591328000,68.1,30.5,-3.5,0.303,8.48,,
T,2013-08-20 03:02:45,45.524722000,-73.591268000,67.9,32.0,-2.2,0.312,8.89,,
T,2013-08-20 03:02:46,45.524787000,-73.591207000,67.7,31.2,-2.3,0.321,8.65,,
T,2013-08-20 03:02:47,45.524861000,-73.591146000,67.5,34.2,-2.1,0.330,9.51,,
T,2013-08-20 03:02:48,45.524921000,-73.591081000,67.3,30.2,-2.4,0.339,8.38,,
T,2013-08-20 03:02:49,45.524990000,-73.591020000,67.2,32.5,-1.1,0.348,9.03,,
T,2013-08-20 03:02:50,45.525057000,-73.590970000,67.0,30.3,-2.4,0.356,8.41,,
T,2013-08-20 03:02:51,45.525128000,-73.590912000,66.8,32.8,-2.2,0.365,9.10,,
T,2013-08-20 03:02:52,45.525201000,-73.590856000,66.6,33.2,-2.2,0.375,9.22,,
T,2013-08-20 03:02:53,45.525268000,-73.590810000,66.4,29.8,-2.4,0.383,8.27,,
T,2013-08-20 03:02:54,45.525343000,-73.590748000,66.2,34.7,-2.1,0.393,9.64,,
T,2013-08-20 03:02:55,45.525414000,-73.590684000,66.0,33.6,-2.1,0.402,9.34,,
T,2013-08-20 03:02:59,45.525693000,-73.590433000,65.1,33.0,-2.5,0.439,36.69,,
T,2013-08-20 03:03:00,45.525760000,-73.590374000,64.9,31.5,-2.3,0.447,8.76,,
T,2013-08-20 03:03:01,45.525821000,-73.590316000,64.7,29.4,-2.5,0.455,8.15,,
T,2013-08-20 03:03:02,45.525885000,-73.590264000,64.6,29.5,-1.2,0.464,8.19,,
T,2013-08-20 03:03:03,45.525951000,-73.590220000,64.4,29.2,-2.5,0.472,8.10,,
T,2013-08-20 03:03:04,45.526009000,-73.590162000,64.3,28.4,-1.3,0.480,7.88,,
T,2013-08-20 03:03:05,45.526070000,-73.590113000,64.1,28.0,-2.6,0.487,7.79,,
T,2013-08-20 03:03:06,45.526132000,-73.590067000,64.0,28.0,-1.3,0.495,7.77,,
T,2013-08-20 03:03:07,45.526193000,-73.590026000,63.9,27.0,-1.3,0.503,7.50,,
T,2013-08-20 03:03:08,45.526253000,-73.589983000,63.8,26.9,-1.3,0.510,7.47,,
T,2013-08-20 03:03:09,45.526305000,-73.589938000,63.7,24.4,-1.5,0.517,6.76,,
T,2013-08-20 03:03:10,45.526355000,-73.589892000,63.6,23.8,-1.5,0.524,6.62,,
T,2013-08-20 03:03:11,45.526407000,-73.589854000,63.5,23.4,-1.5,0.530,6.50,,
T,2013-08-20 03:03:12,45.526449000,-73.589804000,63.3,21.9,-3.3,0.536,6.09,,
T,2013-08-20 03:03:13,45.526501000,-73.589761000,63.2,24.1,-1.5,0.543,6.68,,
T,2013-08-20 03:03:14,45.526552000,-73.589713000,63.1,24.5,-1.5,0.550,6.80,,
T,2013-08-20 03:03:15,45.526604000,-73.589675000,63.0,23.4,-1.5,0.556,6.50,,
T,2013-08-20 03:03:16,45.526648000,-73.589640000,62.8,20.2,-3.6,0.562,5.60,,
T,2013-08-20 03:03:17,45.526689000,-73.589603000,62.7,19.4,-1.9,0.567,5.40,,
T,2013-08-20 03:03:18,45.526726000,-73.589567000,62.6,17.9,-2.0,0.572,4.98,,
T,2013-08-20 03:03:19,45.526752000,-73.589539000,62.5,13.0,-2.8,0.576,3.62,,
T,2013-08-20 03:03:20,45.526777000,-73.589524000,62.5,10.9,0.0,0.579,3.02,,
T,2013-08-20 03:03:22,45.526803000,-73.589497000,62.4,6.4,-2.8,0.582,3.58,,
T,2013-08-20 03:04:05,45.526846000,-73.589474000,62.3,0.4,-2.0,0.587,5.11,,
T,2013-08-20 03:04:06,45.526873000,-73.589454000,62.2,12.2,-3.0,0.591,3.38,,
T,2013-08-20 03:04:07,45.526904000,-73.589435000,62.2,13.5,0.0,0.595,3.75,,
T,2013-08-20 03:04:08,45.526938000,-73.589418000,62.1,14.4,-2.5,0.599,4.01,,
T,2013-08-20 03:04:09,45.526973000,-73.589399000,62.0,15.0,-2.4,0.603,4.16,,
T,2013-08-20 03:04:10,45.527008000,-73.589379000,61.9,15.1,-2.4,0.607,4.19,,
T,2013-08-20 03:04:11,45.527049000,-73.589355000,61.8,17.7,-2.0,0.612,4.93,,
T,2013-08-20 03:04:12,45.527086000,-73.589331000,61.8,16.3,0.0,0.616,4.52,,
T,2013-08-20 03:04:13,45.527147000,-73.589261000,61.5,31.4,-3.4,0.625,8.71,,
T,2013-08-20 03:04:14,45.527192000,-73.589219000,61.4,21.5,-1.7,0.631,5.98,,
T,2013-08-20 03:04:15,45.527243000,-73.589176000,61.3,23.7,-1.5,0.638,6.59,,
T,2013-08-20 03:04:16,45.527292000,-73.589134000,61.1,22.9,-3.1,0.644,6.36,,
T,2013-08-20 03:04:17,45.527347000,-73.589072000,61.0,28.1,-1.3,0.652,7.80,,
T,2013-08-20 03:04:18,45.527397000,-73.589028000,60.8,23.5,-3.1,0.658,6.53,,
T,2013-08-20 03:04:19,45.527455000,-73.588962000,60.7,29.7,-1.2,0.667,8.25,,
T,2013-08-20 03:04:20,45.527509000,-73.588936000,60.6,22.8,-1.6,0.673,6.34,,
T,2013-08-20 03:04:21,45.527561000,-73.588909000,60.5,22.1,-1.6,0.679,6.15,,
T,2013-08-20 03:04:22,45.527620000,-73.588875000,60.4,25.5,-1.4,0.686,7.07,,
T,2013-08-20 03:04:23,45.527683000,-73.588829000,60.3,28.3,-1.3,0.694,7.87,,
T,2013-08-20 03:04:24,45.527755000,-73.588773000,60.2,32.8,-1.1,0.703,9.12,,
T,2013-08-20 03:04:25,45.527826000,-73.588724000,60.1,31.6,-1.1,0.712,8.77,,
T,2013-08-20 03:04:26,45.527903000,-73.588657000,60.1,36.1,0.0,0.722,10.03,,
T,2013-08-20 03:04:27,45.527978000,-73.588589000,60.0,35.6,-1.0,0.732,9.88,,
T,2013-08-20 03:04:28,45.528055000,-73.588522000,59.9,36.1,-1.0,0.742,10.03,,
T,2013-08-20 03:04:29,45.528131000,-73.588446000,59.9,37.2,0.0,0.752,10.32,,
T,2013-08-20 03:04:30,45.528202000,-73.588375000,59.8,34.7,-1.0,0.762,9.65,,
T,2013-08-20 03:04:31,45.528278000,-73.588307000,59.8,35.9,0.0,0.772,9.98,,
T,2013-08-20 03:04:32,45.528357000,-73.588242000,59.8,36.5,0.0,0.782,10.14,,
T,2013-08-20 03:04:33,45.528430000,-73.588181000,59.8,33.9,0.0,0.791,9.41,,
T,2013-08-20 03:04:34,45.528504000,-73.588123000,59.8,33.8,0.0,0.801,9.39,,
T,2013-08-20 03:04:35,45.528577000,-73.588060000,59.7,34.2,-1.1,0.810,9.49,,
T,2013-08-20 03:04:36,45.528654000,-73.587998000,59.7,35.4,0.0,0.820,9.83,,
T,2013-08-20 03:04:37,45.528732000,-73.587940000,59.7,35.2,0.0,0.830,9.78,,
T,2013-08-20 03:04:38,45.528817000,-73.587900000,59.6,35.8,-1.0,0.840,9.95,,
T,2013-08-20 03:04:39,45.528882000,-73.587894000,59.7,26.1,1.4,0.847,7.24,,
T,2013-08-20 03:04:40,45.528959000,-73.587910000,59.7,31.1,0.0,0.856,8.65,,
T,2013-08-20 03:04:41,45.529022000,-73.587958000,59.9,28.6,2.5,0.864,7.94,,
